お金で解決できないことは、ほとんどありません。 [1:0.30s]
次に、その信念を書き換えてください。 [68:0.30s]
お金は汚いなら「お金は中立で、使い方で価値が決まる」に。 [69:0.30s]
「金持ちは悪い人」なら「金持ちで善良な人もたくさんいる」に。 [70:0.30s]
新しい信念を毎日唱えることで、古い信念を上書きしていきます。 [71:0.30s]
お金に感謝する習慣をつけてください。 [72:0.30s]
支払いをするときありがとうと言う。 [73:0.30s]
給料が入ったときありがとうと言う。 [74:0.30s]
お金が出ていくときも、それが価値と交換されていることに感謝する。 [75:0.30s]
感謝は豊かさを引き寄せます。 [76:0.30s]
お金と友好的な関係を築いてください。 [77:0.30s]
お金の管理を避けず、定期的に残高を確認する。 [78:0.30s]
お金を丁寧に扱う。 [79:0.30s]
お金について話すことを避けない。 [80:0.30s]
お金を敵視せず、味方として扱う。 [81:0.30s]
豊かさを受け取ることを許可してください。 [82:0.30s]
「自分は受け取る価値がある」とアファメーションする。 [83:0.30s]
プレゼントを断らず受け取る。 [84:0.30s]
割引やサービスを遠慮せず受け入れる。 [85:0.30s]
受け取ることへの抵抗を減らす。 [86:0.30s]
カルマの視点からも考えてみましょう。 [87:0.30s]
過去世で豊かさに関するネガティブな経験があったかもしれません。 [88:0.30s]
富を持って堕落した過去世、富を失って苦しんだ過去世、富のために争った過去世。 [89:0.30s]
こうした記憶が、今世でのブロックになっている可能性があります。 [90:0.30s]
しかし、カルマは変えられます。 [91:0.30s]
今世で豊かさと健全な関係を築くことで、過去世のパターンを解消できます。 [92:0.30s]
お金を善のために使い、感謝し、健全に管理する。 [93:0.30s]
これが新しいカルマを創造します。 [94:0.30s]
また、豊かさを循環させることには、カルマ的な意義があります。 [95:0.30s]
持てる者が分かち合い、循環させることで、全体が豊かになる。 [96:0.30s]
溜め込むのではなく、流すこと。 [97:0.30s]
それがお金のエネルギーの本質です。 [98:0.30s]
ヨガナンダはこう語りました。 [99:0.30s]
「与えれば与えるほど、あなたのもとに戻ってくる。 [100:0.30s]
川の流れを止めれば、川は淀む。 [101:0.30s]
流せば、新鮮な水が入ってくる」と。 [102:0.30s]
日常で実践できることをお伝えします。 [103:0.30s]
お金をネガティブに語るのをやめてください。 [104:0.30s]
お金がない高い買えないという言葉を減らす。 [105:0.30s]
代わりに「今は優先順位がある」「価値を見出せない」「今回は選ばない」など、力のある表現を使う。 [106:0.30s]
豊かさに目を向けてください。 [107:0.30s]
持っていないものではなく、持っているものを見る。 [108:0.30s]
足りない部分ではなく、満たされている部分を見る。 [109:0.30s]
豊かさを認識することで、豊かさの波動を発する。 [110:0.30s]
お金持ちを憎まないでください。 [111:0.30s]
嫉妬や批判は、お金を遠ざけます。 [112:0.30s]
彼らの成功を祝福することで、あなた自身もその波動に乗ることができます。 [113:0.30s]
そして、与える習慣を持ってください。 [114:0.30s]
少額でも定期的に寄付する、誰かにおごる、価値を無料で提供する。 [115:0.30s]
与えることは、「自分には与えるだけの余裕がある」というメッセージを潜在意識に送ります。 [116:0.30s]
この動画をここまで見てくださったあなたへ。 [117:0.30s]
お金のブロックは、見えない檻のようなものです。 [118:0.30s]
その中にいると、自分が閉じ込められていることすら分かりません。 [119:0.30s]
しかし、気づけば、そこから出ることができます。 [120:0.30s]
あなたは豊かさを受け取る価値があります。 [121:0.30s]
それは宇宙があなたに与えたいものです。 [122:0.30s]
ブロックを解除し、その流れを受け入れてください。 [123:0.30s]
お金と健全な関係を築いている人々の特徴についてお話しします。 [124:0.30s]
彼らは、お金について考えることを避けません。 [125:0.30s]
むしろ、定期的に財務状況を確認し、計画を立て、学び続けます。 [126:0.30s]
お金を怖がらず、友人のように扱います。 [127:0.30s]
彼らは、お金を稼ぐことに罪悪感を感じません。 [128:0.30s]
自分の価値を適正に認め、その対価を受け取ることに抵抗がありません。 [129:0.30s]
安売りせず、かといって法外な値段をつけるわけでもなく、正当な対価を堂々と受け取ります。 [130:0.30s]
彼らは、豊かさを楽しむことを許可しています。 [131:0.30s]
質の良いものを買う、旅行する、経験にお金を使う。 [132:0.30s]
罪悪感なく、お金を楽しむことができます。 [133:0.30s]
彼らは、分かち合います。 [134:0.30s]
持てる余裕を、必要な人や価値あるところに流します。 [135:0.30s]
お金を循環させることで、さらなる豊かさを受け取ります。 [136:0.30s]
彼らは、お金に支配されていません。 [137:0.30s]
お金を大切にしつつも、お金のために魂を売らない。 [138:0.30s]
お金を手段として使いこなしており、目的化していません。 [139:0.30s]
あなたも、この特徴を身につけることができます。 [140:0.30s]
お金との関係は、意識的に変えることが可能です。 [141:0.30s]
お金に関するよくある誤解を解いておきましょう。 [142:0.30s]
誤解の一つ目は、「お金さえあれば幸せになれる」です。 [143:0.30s]
お金は幸福の必要条件ではありますが、十分条件ではありません。 [144:0.30s]
基本的な生活が満たされた後は、お金と幸福の相関は弱くなります。 [145:0.30s]
お金だけを追い求めても、心は満たされません。 [146:0.30s]
誤解の二つ目は、「お金持ちは悪いことをしている」です。 [147:0.30s]
もちろん不正に富を得る人もいますが、正当な価値を提供して豊かになった人も大勢います。 [148:0.30s]
すべての富を悪と結びつけるのは、事実に反します。 [149:0.30s]
誤解の三つ目は、「スピリチュアルな人はお金を求めるべきではない」です。 [150:0.30s]
お金を求めることと、スピリチュアルに生きることは矛盾しません。 [151:0.30s]
お金は、より多くの人を助け、より大きな影響を与えるためのツールになりえます。 [152:0.30s]
誤解の四つ目は、「お金がなければ幸せになれない」です。 [153:0.30s]
お金がなくても幸せな人はたくさんいます。 [154:0.30s]
幸せの根源は内側にあり、お金は外側の条件にすぎません。 [155:0.30s]
バランスの取れた見方は、「お金は重要だが、すべてではない」です。 [156:0.30s]
お金を軽視せず、かといって執着もしない。 [157:0.30s]
この中道が、最も健全なアプローチです。 [158:0.30s]
具体的なお金のブロック解除のエクササイズをお伝えします。 [159:0.30s]
エクササイズ1：お金の自叙伝を書く。 [160:0.30s]
あなたのお金に関する最初の記憶から現在まで、時系列で書き出してください。 [161:0.30s]
どんな経験があったか、両親はお金についてどう語っていたか、お金でどんな感情を経験したか。 [162:0.30s]
書き出すことで、パターンが見えてきます。 [163:0.30s]
エクササイズ2：信念の書き換え。 [164:0.30s]
ネガティブな信念を特定したら、対になるポジティブな信念を作ってください。 [165:0.30s]
そのポジティブな信念を、毎日二十一日間唱え続けてください。 [166:0.30s]
繰り返しが、新しい神経回路を作ります。 [167:0.30s]
エクササイズ3：豊かさの証拠を集める。 [168:0.30s]
毎日、自分の人生における豊かさの証拠を三つ書き出してください。 [169:0.30s]
お金に限らず、健康、人間関係、才能、経験、何でも。 [170:0.30s]
豊かさに意識を向けることで、豊かさの波動を発します。 [171:0.30s]
エクササイズ4：お金の瞑想。 [172:0.30s]
静かに座り、お金を光として想像してください。 [173:0.30s]
その光があなたに流れ込み、あなたを満たし、そしてあなたから流れ出して世界を照らす。 [174:0.30s]
この循環のイメージが、お金の流れを良くします。 [175:0.30s]
エクササイズ5：感謝の支払い。 [176:0.30s]
支払いをするたびに、その対価で得られるものに感謝してください。 [177:0.30s]
電気代を払うなら、電気が使える恵みに感謝。 [178:0.30s]
食費を払うなら、食べ物がある恵みに感謝。 [179:0.30s]
感謝とともに支払うことで、お金がネガティブなものでなくなります。 [180:0.30s]
お金を増やすための実践的なアドバイスもお伝えします。 [181:0.30s]
収入を増やすことと、支出を最適化すること、両方が大切です。 [182:0.30s]
収入を増やすためには、スキルを磨き、価値を高め、より多くの対価を得られる立場を作ることです。 [183:0.30s]
支出を最適化するためには、本当に価値あるものにお金を使い、価値のないものには使わないこと。 [184:0.30s]
見栄や衝動ではなく、本当の満足に繋がるお金の使い方を心がけることです。 [185:0.30s]
そして、お金を働かせることを学んでください。 [186:0.30s]
貯金だけでなく、適切な投資を通じて、お金がお金を生む仕組みを作る。 [187:0.30s]
時間を切り売りするだけでなく、資産を構築することで、真の経済的自由を得ることができます。 [188:0.30s]
最後に、お金を超えた豊かさについてお話しします。 [189:0.30s]
お金は豊かさの一形態ですが、すべてではありません。 [190:0.30s]
健康、愛情、友情、知恵、経験、目的、平和。 [191:0.30s]
これらもまた豊かさです。 [192:0.30s]
お金だけを追い求めて、これらを失わないように注意してください。 [193:0.30s]
真の豊かさとは、これらのバランスが取れた状態です。 [194:0.30s]
お金があっても健康がない、お金があっても孤独、お金があっても心が空虚。 [195:0.30s]
これは真の豊かさではありません。 [196:0.30s]
お金を大切にしつつ、それ以外の豊かさも育ててください。 [197:0.30s]
すべてのバランスが取れたとき、真に豊かな人生が実現します。 [198:0.30s]
お金のブロック解除は、一度で終わるものではありません。 [199:0.30s]
長年かけて形成されたブロックは、少しずつ解除していくものです。 [200:0.30s]
今日気づいたブロックを一つ手放す。 [201:0.30s]
明日また一つ手放す。 [202:0.30s]
その積み重ねで、お金との関係は確実に変わっていきます。 [203:0.30s]
あなたがこの動画を見ているということは、変化への準備ができているということです。 [204:0.30s]
お金との関係を改善したい、豊かさを受け取りたい。 [205:0.30s]
その願いが、あなたをここに導きました。 [206:0.30s]
今日から、お金について違う考え方をしてみてください。 [207:0.30s]
お金を敵ではなく味方として見る。 [208:0.30s]
お金を汚いものではなくエネルギーとして見る。 [209:0.30s]
お金を恐れるのではなく感謝して受け取る。 [210:0.30s]
少しずつ、確実に、あなたの経済状況は変わっていきます。 [211:0.30s]
外側の変化は内側の変化の反映です。 [212:0.30s]
内側が変われば、外側も変わります。 [213:0.30s]
高評価、チャンネル登録をお願いします。 [214:0.30s]
コメント欄であなたのお金に関する気づきを共有してください。 [215:0.30s]
どんなブロックに気づきましたか。 [216:0.30s]
ぜひ教えてください。 [217:0.30s]
では、またお会いする日まで。 [218:0.30s]
経済的な豊かさが、あなたの人生に流れ込みますように。 [219:0.30s]
そして、その豊かさが、あなたを通じて世界に広がりますように。 [220:0.30s]
あなたは豊かさを受け取る価値があります。 [221:0.30s]
