眠れない夜、時計の音がやけに大きく響く。 [1:0.30s]
彼はベッドで仰向けになり、手足を少し広げ、数呼吸だけ「もう終わった」と呟く。 [73:0.30s]
終わりを演じると、今日が確実に閉じる。 [74:0.30s]
あなたも、三呼吸だけ小さな終わりを演じる。 [75:0.30s]
三拍吸い、六拍吐きながら、内側で「終わった」と一度だけ言う。 [76:0.30s]
終わりがあるから、眠りが始まる。 [77:0.30s]
終わりを演じたあとは、階段を降りるように十二からゼロまでゆっくり数える。 [78:0.30s]
段を一つ降りるたび、足裏が冷たい石に触れるイメージを持つ。 [79:0.30s]
ゼロに着いたら、床に座り込むように身体を沈める。 [80:0.30s]
階段の最後の段は、寝床と同じ柔らかさになる。 [81:0.30s]
セネカは海を愛した。 [82:0.30s]
彼は船乗りの友から「夜の港は静かな呼吸で動く」と聞き、港を人生に喩えた。 [83:0.30s]
あなたの体を港に見立てる。 [84:0.30s]
ベッドに横たわり、肋骨を桟橋、背骨を防波堤とイメージする。 [85:0.30s]
吸う息で波が桟橋に当たり、吐く息で港の水が静まる。 [86:0.30s]
港の中央に、小さな船が一艘浮かぶ。 [87:0.30s]
船には「今日」が乗っている。 [88:0.30s]
吐く息ごとに、船を岸に寄せていく。 [89:0.30s]
岸に着いたら、短く「係留完了」と心で呟く。 [90:0.30s]
今日が港に着く。 [91:0.30s]
船を係留したら、港に一本の縄を張る。 [92:0.30s]
縄はあなたの背骨だ。 [93:0.30s]
背骨の一本一本を指でなぞるように、背中をマットレスに預け、呼吸のたびに縄が緩み、締まるのを感じる。 [94:0.30s]
縄がたわんだら、「今日は緩んだ」でいい。 [95:0.30s]
ピンと張ったら、「まだ張る力がある」と微笑む。 [96:0.30s]
港の隅に丸い石を置くイメージをする。 [97:0.30s]
石は、今日の重たかった出来事の形をしている。 [98:0.30s]
石を置いたら、そこに水が静かに溜まる。 [99:0.30s]
溜まった水に月が映り、石の重さが月の光で少し軽くなる。 [100:0.30s]
月が見えない夜でも、月があると仮定していい。 [101:0.30s]
仮定の月が、仮定の石を軽くする。 [102:0.30s]
セネカは「他人の評価は風だ。 [103:0.30s]
帆に受けるかどうかは自分で決める」と書いた。 [104:0.30s]
夜、評価の風を外に出す儀式をする。 [105:0.30s]
枕元に手を掲げ、空をつかむように手を開閉する。 [106:0.30s]
手で風を掴んで、布団の外に放るイメージ。 [107:0.30s]
三回だけ行い、三回目で手をぎゅっと握って胸に置く。 [108:0.30s]
胸に残すのは、自分の息だけ。 [109:0.30s]
彼は贅沢を避けたが、小さな甘みを好んだ。 [110:0.30s]
夜の前に蜂蜜を少し舐め、舌に残る甘さを感じながら眠りに落ちたという。 [111:0.30s]
あなたも、もし手元にあれば、少量のハチミツか温かい水を一口だけ。 [112:0.30s]
甘さは時間の長さを伸ばす。 [113:0.30s]
甘さを舌に残したまま、唇を閉じ、舌を上顎に当てる。 [114:0.30s]
舌先の甘さが、時間の端を結ぶ。 [115:0.30s]
甘さと一緒に、手の中に小さな硬貨か石を一つ握る。 [116:0.30s]
セネカは「時間は硬貨だ」と言い、小さな銅貨を指で転がしながら思索した。 [117:0.30s]
あなたも、硬貨の冷たさと重さを感じ、指の腹で縁をなぞる。 [118:0.30s]
硬貨を握ったまま、三度呼吸し、四度目でそっと床に置く。 [119:0.30s]
置く音が、今日の時間をここに置く音になる。 [120:0.30s]
封筒を思い描く。 [121:0.30s]
目には見えない封筒を胸の前に掲げ、そこに息を一つ吹き込む。 [122:0.30s]
封を閉じる所作だけをして、枕元にそっと置く。 [123:0.30s]
封筒の中には、今日言えなかった一言が入っている。 [124:0.30s]
明日開ける必要はない。 [125:0.30s]
封をした瞬間、その時間は静かに眠る。 [126:0.30s]
セネカは「身体を落ち着かせると、心は自然と静まる」と繰り返した。 [127:0.30s]
あなたも肩を一度高く上げて、静かに落とす。 [128:0.30s]
次に膝を少し立て、左右にゆっくり倒す。 [129:0.30s]
倒すたびに腰の筋が伸び、港の水が均される。 [130:0.30s]
最後に足首をくるりと回し、血が踝を通るのを感じる。 [131:0.30s]
身体の小さな関節を動かすと、時間が関節に溜まらず流れる。 [132:0.30s]
足裏で布団を撫で、温度を確かめる。 [133:0.30s]
足裏が冷たいなら、かかとをこすり合わせ、火花を起こすように温める。 [134:0.30s]
温かくなったら、その熱を布団に押し付け、港の水を少し温める。 [135:0.30s]
肩書きを一度脱ぐ。 [136:0.30s]
心の中で、今日の肩書きを一つずつ床に置く。 [137:0.30s]
「親」「役職」「期待される人」。 [138:0.30s]
置いた肩書きは、床に描いた線の向こう側に滑らせる。 [139:0.30s]
線のこちらは、ただの生き物としてのあなた。 [140:0.30s]
線は目に見えなくてもいい。 [141:0.30s]
境があると、時間は素のまま流れる。 [142:0.30s]
布団に入る前に、部屋を三歩だけ歩く。 [143:0.30s]
歩幅は小さく、音を立てずに。 [144:0.30s]
三歩目で立ち止まり、深く一度だけ息を吐く。 [145:0.30s]
吐いた息を両手で受けるように前に差し出し、その手を胸に戻す。 [146:0.30s]
三歩の往復が、今日の歩みの締めになる。 [147:0.30s]
手首の脈を感じる。 [148:0.30s]
セネカは脈を「時間の足音」と呼び、静かな夜に脈を数えた。 [149:0.30s]
あなたも、手首に二本の指を置き、八つ数える。 [150:0.30s]
八つ目で指を離し、今度は耳たぶの裏に指を当て、四つ数える。 [151:0.30s]
場所を変えることで、時間の足音が家の中を歩くように感じられる。 [152:0.30s]
足音を聞いているうちに、家全体が眠り始める。 [153:0.30s]
セネカは友に「時間は線ではなく点で味わえ」と書いた。 [154:0.30s]
彼は夜、一点に集中するため、指を一本立てて、その指先を見つめた。 [155:0.30s]
あなたも、手の人差し指か中指を立て、指先の形を眺める。 [156:0.30s]
小さな点を見ることで、外の広い世界が霞む。 [157:0.30s]
指先がぼやける頃、心の点も柔らかくなる。 [158:0.30s]
指先が霞んだら、視線を外して天井の暗がりを見る。 [159:0.30s]
暗がりに小さな穴が開いていて、そこから星の光がひと筋入ると想像する。 [160:0.30s]
その光が指先に落ち、指が光を吸う。 [161:0.30s]
光を吸った指で枕を撫でると、枕が静かに脈打つ。 [162:0.30s]
セネカはしばしば影と語った。 [163:0.30s]
蝋燭の影が壁で揺れるとき、彼は影を「自分のもう一つの寿命」と呼んだ。 [164:0.30s]
あなたも壁や天井の影を見つめる。 [165:0.30s]
影に向かって短く「よくここまで来た」と囁く。 [166:0.30s]
影は何も言わないが、輪郭が少しだけ柔らかくなる。 [167:0.30s]
それが、時間の輪郭も柔らかくなる合図だ。 [168:0.30s]
彼は「今日の最後に、誰か一人を想いなさい」と勧めた。 [169:0.30s]
愛する人、遠くの友、もう会えない人。 [170:0.30s]
あなたも一人選び、その人を包むように目を閉じる。 [171:0.30s]
胸の奥でその人の呼吸を想像し、自分の呼吸と重ねる。 [172:0.30s]
二つの呼吸が重なったとき、時間は二人の間で伸びる。 [173:0.30s]
伸びた時間は、眠りを深くする。 [174:0.30s]
その人に短い手紙を書くつもりで、一文だけ心で綴る。 [175:0.30s]
「あなたがいて、今日のこの時間が柔らかくなった」。 [176:0.30s]
書き終えたら、手紙を折りたたむ所作だけする。 [177:0.30s]
折り目が胸に刻まれ、時間が折り畳まれる。 [178:0.30s]
窓を一瞬だけ開け、夜気を頬に当てる。 [179:0.30s]
外の空気は、今日と明日の境目の匂いがする。 [180:0.30s]
吸って、すぐに窓を閉じる。 [181:0.30s]
境目の匂いを胸に閉じ込め、布団に潜る。 [182:0.30s]
境目を吸うと、時間があなたの側に傾く。 [183:0.30s]
寝返りを一度だけ、意図的にゆっくり行う。 [184:0.30s]
セネカは「寝返りは夜の転身」と言った。 [185:0.30s]
右に向くなら、胸の中で今日を一度見送る。 [186:0.30s]
左に向くなら、明日を少しだけ迎える。 [187:0.30s]
向きを決めたら、そのまましばらく動かない。 [188:0.30s]
体の向きが、時間の向きを決める。 [189:0.30s]
手を杯の形にして、胸の上で静かに重ねる。 [190:0.30s]
杯の中に見えない水が注がれると想像し、ゆっくり吸う息で水が半分、吐く息で水が縁まで満ちる。 [191:0.30s]
満ちたら、そのままこぼさないように静止する。 [192:0.30s]
杯の水は、今日の残り時間だ。 [193:0.30s]
こぼさずにいると、時間がやわらかく震える。 [194:0.30s]
背中を床に溶かすイメージを持つ。 [195:0.30s]
セネカは「硬い石も、長く身を預けると自分の形に馴染む」と言った。 [196:0.30s]
あなたの背中が床に染み込み、床が少し窪む。 [197:0.30s]
窪みがあなたの型になる。 [198:0.30s]
型に収まれば、余計な力が抜ける。 [199:0.30s]
セネカは自死を命じられた夜、静かに風呂に入り、血を流し、友人たちに穏やかに語りかけた。 [200:0.30s]
「私は長く生きた。 [201:0.30s]
今は静かに閉じる」。 [202:0.30s]
彼は最後まで時間を抱きしめた。 [203:0.30s]
あなたにそれはまだ要らない。 [204:0.30s]
ただ、夜に「閉じる」という所作を持つ。 [205:0.30s]
枕元の光を指で一度撫で、ゆっくり消す。 [206:0.30s]
暗闇になった瞬間、「閉じた」と心で言う。 [207:0.30s]
閉じた途端、時間は内側に残り、外の世界は遠ざかる。 [208:0.30s]
もし目が冴えても、横になって目を閉じているだけで、体は時間を取り戻しているとセネカは信じた。 [209:0.30s]
彼は「眠れない夜でも、身体を横たえることは時間への敬意だ」と書いた。 [210:0.30s]
眠気が来なくても、自分を責めない。 [211:0.30s]
横たわるだけで、時間はあなたの側に溜まる。 [212:0.30s]
まぶたを閉じ、背中の重さを数える。 [213:0.30s]
肩、腰、かかと。 [214:0.30s]
重さが三つ数えられたら、そこに時間が泊まっていると考える。 [215:0.30s]
泊まった時間が体温で温まり、あなたの中にゆっくり溶ける。 [216:0.30s]
布団の繊維を指先でそっと撫で、一本ずつ数えるつもりで触れる。 [217:0.30s]
数は合わなくていい。 [218:0.30s]
数えようとする行為が、時間を細く裂く。 [219:0.30s]
裂かれた時間の細片が指に絡み、絡んだまま眠りに落ちる。 [220:0.30s]
もし途中で目が覚めたら、セネカの「夜の手紙」を思い出す。 [221:0.30s]
彼は目覚めたとき、布団の端をつまんで「ここからまた始まる」と囁いた。 [222:0.30s]
あなたも布団の縁をつまみ、軽く引いてから戻す。 [223:0.30s]
その小さな引き戻しが、時間の綱引きになる。 [224:0.30s]
綱を戻したら、まぶたの裏に港を思い浮かべ、船が静かに揺れるのを見送る。 [225:0.30s]
耳を澄ませる。 [226:0.30s]
何も聞こえなくてもいい。 [227:0.30s]
セネカは「静けさの中に、遠い鐘の音がする」と書いた。 [228:0.30s]
あなたも、どこかで小さな鐘が一度だけ鳴るのを想像する。 [229:0.30s]
鐘の余韻が胸に落ち、胸を一周して背中に抜ける。 [230:0.30s]
鐘が鳴り終われば、背中が少し重くなる。 [231:0.30s]
その重さが、あなたを地面に縫い付け、時間を止める。 [232:0.30s]
首筋をそっと撫で、手の温度で温める。 [233:0.30s]
首の後ろは、今日の緊張が溜まる場所だ。 [234:0.30s]
温めながら、口を閉じたまま鼻で深く吸い、ゆっくり吐く。 [235:0.30s]
吐く息で首筋が柔らかくなると、頭の中の時計の針が少し遅くなる。 [236:0.30s]
時間の糸を結ぶ儀式をする。 [237:0.30s]
親指と人差し指を軽く擦り合わせ、糸を撚るように動かす。 [238:0.30s]
撚った糸で胸の前に小さな結び目を作るイメージを持ち、「これは今夜の結び目」と心で言う。 [239:0.30s]
結び目ができると、散っていた時間が一点に集まる。 [240:0.30s]
夜明け前、鳥の声が聞こえる前に、舌の裏に一言を隠す。 [241:0.30s]
「また明日」と小さく心で言い、舌を上顎に当てる。 [242:0.30s]
言葉を舌の裏に貼り付けると、明日までその言葉が温まる。 [243:0.30s]
舌の温度が、時間を柔らかくする。 [244:0.30s]
胸の真ん中で、小石を転がすように呼吸をする。 [245:0.30s]
吸う息で小石が左に転がり、吐く息で右に戻る。 [246:0.30s]
転がる音はしないが、胸の中でわずかに動く感触だけを追う。 [247:0.30s]
小石が往復すると、胸のざらつきが磨かれ、滑らかな面になる。 [248:0.30s]
滑らかになった面に、眠りが乗りやすくなる。 [249:0.30s]
最後に、今夜試す小さな一歩をそっと並べよう。 [250:0.30s]
柔らかな光を一つに絞り、四・四・六の呼吸で時間を止める。 [251:0.30s]
盗まれた時間を紙に三つ折り、容器に今日の良かった一瞬を入れる。 [252:0.30s]
額に冷たいタオルを当て、胸に落ちる冷たさを味わう。 [253:0.30s]
小さな終わりを三呼吸だけ演じ、港に船を係留し、「係留完了」と呟く。 [254:0.30s]
手で風を掴んで外に放ち、甘さを舌に残す。 [255:0.30s]
指先の点を見つめ、一人を想い、光を撫でて消す。 [256:0.30s]
全部でなくてもいい。 [257:0.30s]
できるところだけでいい。 [258:0.30s]
短い夜が、密度のある長い時間に変わる。 [259:0.30s]
おやすみ。 [260:0.30s]
