No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること
11,CH26,011,CH26-011,CH26-011,【カント流】結論、ルールが先だ,topic_research: pending,,workspaces/scripts/CH26/011/content/assembled.md,未完了,11466,2025-12-27 08:45:40,やる気は裏切る,ルール化,,テーマID: JDG-011。企画テーマ: 【カント流】結論、ルールが先だ。偉人: カント。文脈: 習慣化（毎日投稿の維持）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: やる気がある日だけ進む仕組みは、続かない。君が作るべきは規則だ。 / 文脈: 習慣化（毎日投稿の維持） / 第1章: 成果を『今日の投稿を完了』に固定する。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つ（投稿完了/次の準備）に絞る。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を『未投稿』に固定し、最低条件で必ず出す。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 3回平均で見直し、日々の波に負けない。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出し、同じ順番で回す。 / 第5章で試す: 手順5行 / 止まる点を具体化 / 作業前に見る / 第6章: 余白と前倒しで崩れない。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 改善は1つだけ入れて更新する。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: やる気がある日だけ進む仕組みは、続かない。君が作るべきは規則だ。 / 文脈: 習慣化（毎日投稿の維持）,,【カント流】結論、ルールが先だ,workspaces/scripts/CH26/011/content/assembled.md,,,,やる気より先に,カント,夜寝る前,カントの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
12,CH26,012,CH26-012,CH26-012,【ニーチェ式】成果は“強さ”ではなく“整い”だ,topic_research: pending,,workspaces/scripts/CH26/012/content/assembled.md,未完了,10738,2025-12-27 08:45:40,頑張るほど壊れる,整えろ,,テーマID: JDG-012。企画テーマ: 【ニーチェ式】成果は“強さ”ではなく“整い”だ。偉人: ニーチェ。文脈: 自己否定で止まる日の救済。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 君が必要としているのは根性ではない。崩れない構造だ。 / 文脈: 自己否定で止まる日の救済 / 第1章: 成果を小さく定義して、今日を終わらせる。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞り、自己否定の材料を増やさない。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定し、恐怖を扱える形にする。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 3回平均で見て自分を裁かない。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出して再現性に乗る。 / 第5章で試す: 手順5行 / 止まる点を具体化 / 作業前に見る / 第6章: 余白で崩れない日にする。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 改善は1つだけ、静かに更新する。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 君が必要としているのは根性ではない。崩れない構造だ。 / 文脈: 自己否定で止まる日の救済,,【ニーチェ式】成果は“強さ”ではなく“整い”だ,workspaces/scripts/CH26/012/content/assembled.md,,,,強くなるより,ニーチェ,夜寝る前,ニーチェの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
13,CH26,013,CH26-013,CH26-013,【ユング的】最悪を言葉にすると動ける,topic_research: pending,,workspaces/scripts/CH26/013/content/assembled.md,未完了,10520,2025-12-27 08:45:40,不安が消えない,書き出せ,,テーマID: JDG-013。企画テーマ: 【ユング的】最悪を言葉にすると動ける。偉人: ユング。文脈: 不安の言語化（最悪固定）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 君が怖いのは失敗ではない。失敗の形が決まっていないことだ。 / 文脈: 不安の言語化（最悪固定） / 第1章: 成果を固定し、曖昧さを減らす。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞り、考えすぎを止める。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を具体化して最低条件を決める。 / 第3章で試す: 最悪を1分で具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 短期の揺れではなく平均で見る。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出し、迷いを減らす。 / 第5章で試す: 手順5行 / 止まる点具体化 / 作業前に見る / 第6章: 余白で崩れにくくする。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 小さく更新して平均を上げる。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 君が怖いのは失敗ではない。失敗の形が決まっていないことだ。 / 文脈: 不安の言語化（最悪固定）,,【ユング的】最悪を言葉にすると動ける,workspaces/scripts/CH26/013/content/assembled.md,,,,見えない不安が,ユング,夜寝る前,ユングの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
14,CH26,014,CH26-014,CH26-014,【フロイト流】進めない原因は能力じゃない,topic_research: pending,,workspaces/scripts/CH26/014/content/assembled.md,未完了,8498,2025-12-27 08:45:40,動けない原因,恐怖だ,,テーマID: JDG-014。企画テーマ: 【フロイト流】進めない原因は能力じゃない。偉人: フロイト。文脈: 準備過多の停止解除。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 準備が終わらないのは真面目さではなく、恐怖が手綱を握っているからだ。 / 文脈: 準備過多の停止解除 / 第1章: 成果を固定して準備の終点を作る。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞り、追加調査を止める。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定し、最低条件だけ守って出す。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 3回平均で見直し、1回の失敗で方針を捨てない。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出して再現性を作る。 / 第5章で試す: 手順5行 / 止まる点具体化 / 作業前に見る / 第6章: 余白で崩れない。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 改善は1つずつ更新する。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 準備が終わらないのは真面目さではなく、恐怖が手綱を握っているからだ。 / 文脈: 準備過多の停止解除,,【フロイト流】進めない原因は能力じゃない,workspaces/scripts/CH26/014/content/assembled.md,,,,なぜか進まない,フロイト,夜寝る前,フロイトの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
15,CH26,015,CH26-015,CH26-015,【スミス式】期待値で選べ：損を減らせ,topic_research: pending,,workspaces/scripts/CH26/015/content/assembled.md,未完了,10318,2025-12-27 08:45:40,直感は危険,損が増える,,テーマID: JDG-015。企画テーマ: 【スミス式】期待値で選べ：損を減らせ。偉人: アダム・スミス。文脈: 期待値思考（施策選び）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 当たった日の自信と外れた日の落ち込みで、判断が振り回される。 / 文脈: 期待値思考（施策選び） / 第1章: 成果を固定し、評価軸をぶらさない。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞る。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定し、損失を小さくする。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 期待値で選び、3回平均で見直す。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 検証手順を外に出す。 / 第5章で試す: 手順5行 / 止まる点具体化 / 作業前に見る / 第6章: 余白で崩れない運用にする。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 小さく更新して平均を上げる。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 当たった日の自信と外れた日の落ち込みで、判断が振り回される。 / 文脈: 期待値思考（施策選び）,,【スミス式】期待値で選べ：損を減らせ,workspaces/scripts/CH26/015/content/assembled.md,,,,感覚で選ぶと,アダム・スミス,夜寝る前,アダム・スミスの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
16,CH26,016,CH26-016,CH26-016,【ケインズ式】一回の上下で判断を変えるな,topic_research: pending,,workspaces/scripts/CH26/016/content/assembled.md,未完了,8371,2025-12-27 08:45:40,一回で決めるな,ブレるな,,テーマID: JDG-016。企画テーマ: 【ケインズ式】一回の上下で判断を変えるな。偉人: ジョン・メイナード・ケインズ。文脈: 短期反応で方針を変えない。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 昨日の結果で全てを否定したくなるとき、君はまだ平均で戦っていない。 / 文脈: 短期反応で方針を変えない / 第1章: 成果を固定して評価軸を決める。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞る。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定して損失を制御する。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 3回平均で見直す。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出す。 / 第5章で試す: 手順5行 / 止まる点具体化 / 作業前に見る / 第6章: 余白で崩れない。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 小さく更新する。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 昨日の結果で全てを否定したくなるとき、君はまだ平均で戦っていない。 / 文脈: 短期反応で方針を変えない,,【ケインズ式】一回の上下で判断を変えるな,workspaces/scripts/CH26/016/content/assembled.md,,,,短期の波で,ジョン・メイナード・ケインズ,夜寝る前,ジョン・メイナード・ケインズの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
17,CH26,017,CH26-017,CH26-017,【ダ・ヴィンチ式】仮を早く置け：更新で仕上げろ,topic_research: pending,,workspaces/scripts/CH26/017/content/assembled.md,未完了,9250,2025-12-27 08:45:40,完成主義は毒,仮で進め,,テーマID: JDG-017。企画テーマ: 【ダ・ヴィンチ式】仮を早く置け：更新で仕上げろ。偉人: レオナルド・ダ・ヴィンチ。文脈: プロトタイプ思考（仮置き）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 完成形が遠いほど、手が止まる。君が先に置くべきは仮の形だ。 / 文脈: プロトタイプ思考（仮置き） / 第1章: 成果を『仮でも投稿できる形』に固定する。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞り、仮を動かす。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定し、損失を小さくする。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 平均で勝つ視点で更新する。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出す。 / 第5章で試す: 手順5行 / 止まる点具体化 / 作業前に見る / 第6章: 余白で崩れない。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 小さく速く更新する。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 完成形が遠いほど、手が止まる。君が先に置くべきは仮の形だ。 / 文脈: プロトタイプ思考（仮置き）,,【ダ・ヴィンチ式】仮を早く置け：更新で仕上げろ,workspaces/scripts/CH26/017/content/assembled.md,,,,完成を想像すると,レオナルド・ダ・ヴィンチ,夜寝る前,レオナルド・ダ・ヴィンチの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
18,CH26,018,CH26-018,CH26-018,【キュリー式】結論、測定が更新を速くする,topic_research: pending,,workspaces/scripts/CH26/018/content/assembled.md,未完了,7030,2025-12-27 08:45:40,根性は無意味,測れ,,テーマID: JDG-018。企画テーマ: 【キュリー式】結論、測定が更新を速くする。偉人: マリー・キュリー。文脈: 検証と改善（測定）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 直す前に測らないと、直しすぎる。測れば更新が速くなる。 / 文脈: 検証と改善（測定） / 第1章: 成果を『改善指標を1つ上げる』に固定する。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞る。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定し、損失を制御する。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 平均で見てブレない。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 測定手順を外に出す。 / 第5章で試す: 手順5行 / 止まる点具体化 / 作業前に見る / 第6章: 余白で崩れない。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 小さく更新して平均を上げる。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 直す前に測らないと、直しすぎる。測れば更新が速くなる。 / 文脈: 検証と改善（測定）,,【キュリー式】結論、測定が更新を速くする,workspaces/scripts/CH26/018/content/assembled.md,,,,根性じゃなく,マリー・キュリー,夜寝る前,マリー・キュリーの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
19,CH26,019,CH26-019,CH26-019,【ファラデー流】成果は仕組みで積み上がる,topic_research: pending,,workspaces/scripts/CH26/019/content/assembled.md,未完了,6821,2025-12-27 08:45:40,知識を増やすな,仕組み化,,テーマID: JDG-019。企画テーマ: 【ファラデー流】成果は仕組みで積み上がる。偉人: ファラデー。文脈: 仕組み化（運用）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 知識を増やしても成果が増えないなら、仕組みがまだ外にない。 / 文脈: 仕組み化（運用） / 第1章: 成果を固定して仕組みの方向を決める。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞る。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定し、止まらない下限を作る。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 平均で判断する。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出し、再現性を作る。 / 第5章で試す: 手順5行 / 止まる点具体化 / 作業前に見る / 第6章: 余白で崩れない。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 小さく更新して平均を上げる。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 知識を増やしても成果が増えないなら、仕組みがまだ外にない。 / 文脈: 仕組み化（運用）,,【ファラデー流】成果は仕組みで積み上がる,workspaces/scripts/CH26/019/content/assembled.md,,,,知識を増やすより,ファラデー,夜寝る前,ファラデーの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
20,CH26,020,CH26-020,CH26-020,【ダーウィン式】結論、更新の反復が成果を作る,topic_research: pending,,workspaces/scripts/CH26/020/content/assembled.md,未完了,6462,2025-12-27 08:45:40,一発狙いは危険,改良で勝て,,テーマID: JDG-020。企画テーマ: 【ダーウィン式】結論、更新の反復が成果を作る。偉人: ダーウィン。文脈: 反復改善（シリーズ育成）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 最初から正解を当てようとするほど、更新が止まる。 / 文脈: 反復改善（シリーズ育成） / 第1章: 成果を固定して反復の方向を決める。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞る。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定して損失を小さくする。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 平均で評価する。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出す。 / 第5章で試す: 手順5行 / 止まる点具体化 / 作業前に見る / 第6章: 余白で崩れない。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 更新を小さく速く回す。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 最初から正解を当てようとするほど、更新が止まる。 / 文脈: 反復改善（シリーズ育成）,,【ダーウィン式】結論、更新の反復が成果を作る,workspaces/scripts/CH26/020/content/assembled.md,,,,一発で当てるな,ダーウィン,夜寝る前,ダーウィンの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
21,CH26,021,CH26-021,CH26-021,【エジソン式】結論、更新回数が成果を決める,topic_research: pending,,workspaces/scripts/CH26/021/content/assembled.md,未完了,6386,2025-12-27 08:45:40,才能は関係ない,回数だ,,テーマID: JDG-021。企画テーマ: 【エジソン式】結論、更新回数が成果を決める。偉人: エジソン。文脈: 投稿回数と改善回数。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 一発の名作より、止まらない試行が成果を作る。 / 文脈: 投稿回数と改善回数 / 第1章: 成果を『更新回数を増やす』に固定する。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つ（投稿/改善）に絞る。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定し、失敗の損失を小さくする。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 平均で見る。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 手順を外に出す。 / 第5章で試す: 手順5行 / 止まる点具体化 / 作業前に見る / 第6章: 余白で崩れない。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 改善は1つだけ、更新を続ける。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 一発の名作より、止まらない試行が成果を作る。 / 文脈: 投稿回数と改善回数,,【エジソン式】結論、更新回数が成果を決める,workspaces/scripts/CH26/021/content/assembled.md,,,,才能より,エジソン,夜寝る前,エジソンの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
22,CH26,022,CH26-022,CH26-022,【ジョブズ流】重要な2つだけ残せ,topic_research: pending,,workspaces/scripts/CH26/022/content/assembled.md,未完了,5890,2025-12-27 08:45:40,足すほど崩れる,捨てろ,,テーマID: JDG-022。企画テーマ: 【ジョブズ流】重要な2つだけ残せ。偉人: スティーブ・ジョブズ。文脈: 削る設計（変数削減）。序章の情景から入り、7章固定の判断テンプレで迷いを減らし、最後に翌日からの行動（朝・昼・夜）を渡して静かに閉じる。,30〜70代中心。仕事や学びの迷いを減らしたいのに、焦りや自己否定で止まりやすい。耳だけで聴ける「拝啓、偉人より」で、偉人の判断の型を静かに受け取り、翌日ひとつだけ進めたい人。,序章: 足した瞬間は安心する。でも足した分だけ判断が増えて止まる。 / 文脈: 削る設計（変数削減） / 第1章: 成果を固定して削る基準を作る。 / 第1章で試す: 成果を1分で書く / 外す作業2つ / 点検 / 第2章: 重要変数を2つに絞って削る。 / 第2章で試す: 要因2つ / 保留 / 7割/3割 / 第3章: 最悪を固定して削る勇気を持つ。 / 第3章で試す: 最悪を具体化 / 最低条件2つ / 満たしたら実行 / 第4章: 平均で評価して削り続ける。 / 第4章で試す: 候補2つ / 3段階評価 / 3回平均 / 第5章: 削る手順を外に出す。 / 第5章で試す: 手順5行 / 止まる点具体化 / 作業前に見る / 第6章: 余白で崩れない。 / 第6章で試す: 重要作業1つ / 余白10分 / 最低限→改善 / 第7章: 改善は1つだけ、更新する。 / 第7章で試す: 最小更新1つ / 改善は1つ / 7回平均 / 終章: 翌日からの行動（朝・昼・夜）: 朝：成果1分 / 昼：重要変数2つ / 夜：改善1つ,,,,,,,,,,,,序章: 足した瞬間は安心する。でも足した分だけ判断が増えて止まる。 / 文脈: 削る設計（変数削減）,,【ジョブズ流】重要な2つだけ残せ,workspaces/scripts/CH26/022/content/assembled.md,,,,足すほど,スティーブ・ジョブズ,夜寝る前,スティーブ・ジョブズの判断の型,迷いが減る,夜の書斎と手紙,眠りながら、偉人から届く手紙で判断の型を静かに学ぶ時間。,迷いを減らす判断の型 / 翌日ひとつだけ進む手順
